id,external_id,name,name_short_display,description,website,is_organic,status,street_address,locality,region,postal_code,phone,latitude,longitude,is_closed,is_primary,open_to_public,location_type,location_type_display,country_iso_code,update_date,create_date,created_at,updated_at
208,yLBNrD,North Coast Brewing Company,North Coast,"A pioneer in the craft beer movement, opened in 1988 as a local brewpub in the historic town of Fort Bragg, located on California’s Mendocino Coast. Under the leadership of brew master Mark Ruedrich, the brewery has developed a strong reputation for quality having won more than 70 awards in national and international competitions. In addition to Red Seal Ale, Old Rasputin Russian Imperial Stout, Scrimshaw Pilsner, and other fine North Coast brands, the brewery has resurrected the old Acme label with a heritage dating back to the San Francisco of the 1860’s. These exceptional beers are available in 47 states now and also are exported to Europe and the Pacific Rim.",http://www.northcoastbrewing.com/,N,verified,455 North Main Street,Fort Bragg,California,95437,1-707-964-2739,39.446471,-123.806238,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
195,TbdIj1,Oast House Brewery,Oast House,"A small Micro-Brewery based just outside the coastal town of Aberystwyth in Mid Wales, producing cask conditioned and bottled real ale for Aberystwyth, the surrounding area and occasionally further afield. We are currently Cuckoo Brewing while we save up funds to buy our own kit, but we are looking forward to doing that in the near future. Oast House Brewery takes its name from the old maltings based in Trefechan. We liked the idea of resurrecting a little of Aberystwyth’s ale past, and so we named ourselves after them. The Old Oast House which can still be found in the harbour was used for drying and roasting barley in order to create malt. We use malt in our ale to give our ale both flavour and sugar. You get to taste the flavour in our ale, but the yeast eats most of the sugars and turns them in to alcohol. We did look into basing our brewery in the Oast House but unfortunately it is not for sale.",http://www.oasthousebrewery.co.uk,N,verified,"",Aberystwyth,Ceredigion,SY23 1SS,01970 6270907,52.4024596,-4.0723216,N,Y,N,micro,Micro Brewery,GB,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
196,WDNT0V,Mount Shasta Brewing Co,Mount Shasta,"",http://www.weedales.com/,N,verified,360 College Avenue,Weed,California,96094,530-938-2394,41.416053,-122.387038,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
197,rKXfsB,Burley Oak Craft Brewery,Burley Oak Craft,"Hi there! We have been hard at work building this brewery keeping in mind sustainable practices and using local materials and craftsmen. We love our town of Berlin, Maryland and hope you join us in our taproom for a couple of pints and growlers. Our goal is to produce distinctive beers whose quaility is unsurpassed using new and traditional brewing methods. Why ""Burley Oak?"" The inspiration for our name Burley Oak Brewing Company was derived from the name of the town, our traditional brewing methods and the history of our brewhouse. Berlin, Maryland in Wikipedia The town of Berlin had its start around the 1790s, part of the Burley Plantation, a 300-acre (1.2 km2) land grant dating back to 1677. The name Berlin is believed to be derived from a contraction of ""Burleigh Inn"", a tavern located at the crossroads of the Philadelphia Post Road (now South Main Street) and Sinepuxent Road (Tripoli Street). It just so happens, that our building was originally a Cooperage - making oak barrels to fill with local produce and seafood to ship off to Baltimore in the early 1900's. And we are bringing barrels back to the building, aiding us in the aging of our hand-crafted ales.",http://www.burleyoak.com/,N,verified,10016 Old Ocean City Blvd,Berlin,Maryland,21811,410-422-8887,38.3338561,-75.2169099,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
198,w9vR2u,Brouwerij St. Bernardus,Brouwerij St. Bernardus,Also know as Sint Bernardus and St. Bernardus Brewery,http://www.sintbernardus.be/,N,verified,Trappistenweg 23,Watou,West-Vlaanderen,8978,+32 57 38 80 21,50.8425017,2.6362699,N,Y,Y,micro,Micro Brewery,BE,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
199,dx6426,Border X Brewing,Border X,"We created Border X Brewing as a vehicle to explore new flavors in craft beer. With over 85 breweries in San Diego in January of 2013, we knew that we wanted to add our own unique contribution to the beer scene. Having been raised on both sides of the border, we always enjoyed eating from both cultures. Mexican Street Tacos, chile enfused candies, enchiladas one day, and Hamburgers, mac and cheese and ding dongs the next. As adults we realized how unique being raised on the border was, how the mix of flavors was seeping from north to south, and south to north. It was this fusion in flavors that inspired to take traditional, European brewing traditions and infuse the process with a whole new palette of Latin American ingredients. So we dug into our own roots for inspiration and found a treasure trove of brewing traditions, ingredients and unique flavors. Our best example of this is our Blood Saison, an agave and Hibiscus infused Saison that come off sweet initially, middle tartness and finishing like a beer.",http://www.borderxbrewing.com/,N,verified,2181 Logan Ave,San Diego,California,92113,6194310771,32.6981181,-117.1397986,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
200,CZ6MCK,Bayou Teche Brewing,Bayou Teche,Bayou Teche Brewing was founded on this simple dream – to craft beers that compliment the cuisine and lifestyle of Cajuns and Creoles.,http://bayoutechebrewing.com/,N,verified,1002 Noth Lane,Arnaudville,Louisiana,70512,(337) 303-8000,30.3691322,-91.9883172,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
201,KgfzOV,Las Cazuelas Mexican Grill and Brewery,Las Cazuelas Mexican Grill,"",http://www.cazuelasmexicangrill.com,N,verified,4051 Sara Rd SE,Rio Rancho,New Mexico,87124,(505) 994-9364,35.2321329,-106.6547127,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
202,65NldW,Gravity Brewing,Gravity,"Louisville Colorado's Original Craft Brewery. Producing high quality hand crafted ales with purpose. Down To Earth Beer, Food & People.",http://thegravitybrewing.com/,N,verified,1150 Pine Street,Louisville,Colorado,80027,303-544-0746,39.9760839,-105.1284965,N,Y,Y,tasting,Tasting Room,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
203,ZIDkN9,California Cider Company,California Cider,"The California Cider Company is owned by Geoffrey House, the man credited with initiating the national cider renaissance. Utilizing his insider's view of the cider industry, he took more than two years to develop the Ace Cider. House, owner of the second largest specialty beer and cider marketing company in the US, began importing ciders into the US in 1986. Since then he has seen explosive sales growth, as hard cider has moved beyond specialty beer and liquor stores and established itself on the supermarket shelves as a new drink category. With Sonoma's superior apple juice giving Ace Ciders their great fresh taste and House's expertise and in-depth knowledge of the hard cider business providing a marketing edge, CCC is beginning to take a dominant position in this increasingly significant new beverage market. As with all alcoholic beverages, we urge you to please drink responsibly.",http://www.acecider.com/,N,verified,2064 Gravenstein Highway North,Sebastopol,California,95472,707-829-1101,38.424961,-122.848101,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
204,vsVIpN,Walter's Beer,Walter's Beer,"For 100 years, Walter’s Beer was as much a family tradition as it was a refreshing malt beverage. The Walters family toiled through fires, Prohibition and fierce competition to deliver the classic recipe that gave generations of beer enthusiasts a reason to relax at the end of the day. Your time has come to experience this bold, historic brew.",http://www.waltersbeer.com/,N,verified,126 Oneida St,Pueblo,Colorado,81003,(719) 542-0766,38.2625102,-104.6100307,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
205,xIWy3E,Wingman Brewers,Wingman Brewers,"Inspired by Tacoma's legacy of honest hard work, Wingman Brewers strives to create a strong selection of spirited, full-flavored beers for the South Sound region.",http://wingmanbrewers.com,N,verified,509 1/2 Puyallup Ave,Tacoma,Washington,98421,(253) 256-5240,47.2410896,-122.4273045,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
206,34MUbw,Achel Brewery,Achel,"Achel brewery or Brouwerij der Sint-Benedictusabdij de Achelse Kluis is a Belgian Trappist brewery, and the smallest of the seven currently approved Trappist breweries. It is located in the Abbey of Saint Benedict in the Belgian municipality of Achel. It brews five trappist beers",http://www.achelsekluis.org/,N,verified,De Kluis 1,Achel,Limburg,"",32-011-80-07-60,51.2989941,5.4892107,N,Y,Y,micro,Micro Brewery,BE,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
210,YOdPoo,Lone Tree Brewing Company,Lone Tree,"A craft brewery and tasting room: Small and family friendly, with an emphasis on sampling small-batch brews and sharing the experience with fellow beer lovers.",http://www.lonetreebrewingco.com/,N,verified,8200 Park Meadows Drive,Lone Tree,Colorado,80124,303-792-5822,39.5629781,-104.894501,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
211,1yqdyJ,Howard Brewing Company,Howard,"Howard Brewing Company is a brand new craft brewery opening in Lenoir, North Carolina at the foothills of the Blue Ridge Mountains. We will be opening in a great old building downtown on West Avenue alongside the Carolina Distillery and a new pub-style restaurant. We are working on some great ideas at the building including rain water recapture, solar power, and renovating the building so the dining experience literally overlooks the brewery and distillery operations. We are excited to bring our beer to you as soon as we can and are acquiring our brewhouse and swinging the hammers as you read this...",http://www.howardbrewing.com/,N,verified,West Avenue,Lenoir,North Carolina,28645,"",35.91498,-81.539464,N,Y,N,brewpub,Brewpub,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
212,crpkc8,Free State Brewing Company,Free State,"“Because without beer, things do not seem to go as well.” In 1989, Free State Brewing Company became the first legal brewery in Kansas in over 100 years. Since opening the doors at our Mass Street HQ, we’ve been working day in and day out to be a haven for beer lovers, where good beer and good food can inspire lively conversations and memorable experiences. Our 14-barrel brewhouse is made up of some of the best equipment available to the small brewer, but we still think the most important ingredients are the care and respect that our enthusiastic, knowledgeable staff has for each and every beer that we make. And now that we’re producing bottled beers in our expanded bottling facility, our attention to detail and dedication to great taste and quality can be experienced by people all over Kansas and Missouri.",http://freestatebrewing.com/,N,verified,636 Massachusetts,Lawrence,Kansas,66044,785-843-4555,38.971872,-95.235715,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
213,BfzoOh,Great Sex Brewing,Great Sex,"Great Sex Brewing (GSB) began as an idea in the early 1990's when Doug Talbot and some friends attempted to purchase an old historic building near Vail, Colorado for micro-brewing purposes. Doug's intent was to use the name as it appears now. After a number of twists, turns, bumps and grinds Jeff Talbot became involved and GSB was eventually incorporated in California at the turn of the century. Our main office is in Redding, CA, so you might say Redding is ""The Home of Great Sex!""",http://www.greatsexbrewing.com/,N,verified,12763 Encanto Way,Redding,California,96003,530-275-2705,40.65954,-122.309303,Y,Y,N,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
214,L1fajR,Eagle Creek Brewing Company,Eagle Creek,"Opened in August 2013 Eagle Creek Brewing Co is Statesboro GA's first craft brewery. Located in the heart of South Georgia we focus on producing delicious, interesting and highly drinkable beers using the very best ingredients available. Stop by our taproom or find our beers at good beer bars and bottle shops all around Georgia.",http://www.eaglecreekbrewingco.com,N,verified,"106 Savannah Avenue, Ste B",Statesboro,Georgia,30458,(912) 489-BEER,32.448106,-81.779944,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
215,oDJkQb,Buckbean Brewing Company,Buckbean,"Buckbean Brewing Company — the first package brewery in Western Nevada and the second of three in the Silver State — began operations in a new 7,600-square-foot facility in Reno, NV in April 2008. Buckbean Brewing Company debuted with two styles of beer in 16 oz. cans, which has now grown to three, but also offers different styles on tap. The brewery houses a tasting room and offers guided tours free of charge. Buckbean Brewing Company is the vision of Reno native Douglas S. Booth and Veteran brewmaster Daniel B. Kahn. These two self described “beer junkies” joined up in 2004 to create a new kind of microbrew appealing to both male and female beer drinkers.",http://www.buckbeanbeer.com/,N,verified,1155 S. Rock Blvd,Reno,Nevada,89502,775-857-4444,39.4978546,-119.750399,Y,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
216,xnmTgH,Bad Tom Smith Brewing,Bad Tom,"On June 28, 1895, after confessing to the murder of six people, “Bad Tom” Smith uttered his final words before meeting a hangman’s noose in Breathitt County, Ky.: “Bad women and bad whiskey have brought me where I am. I give you this warning: Don’t drink bad whiskey and don’t do as I have done.” While he doesn’t think highly of his great-great uncle, Sean Smith, Bad Tom co-owner, has turned his relative’s evil deeds into a namesake for a local brewery. “My penance is to make good beer for all the bad whiskey he drank,” Smith quips. After talking and sharing his great-great uncle’s story with Charles Boucher, co-owner and master brewer, they decided to change the name to Bad Tom Smith Brewing. Boucher’s beer list includes the flagship Bad Tom Smith, a reddish brown ale. Other favorites are Brother Clement, a white Belgian ale brewed with more than a 100 pounds of clementines, and Old Abe American Ale, an American-style ale based on English beers with a dark amber color.",http://badtombrewing.com,N,verified,4720 Eastern Ave,Cincinnati,Ohio,45226,(513) 871-4677,39.119749,-84.418378,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
217,fToAQf,Adirondack Pub & Brewery,Adirondack Pub,"All of our craft-brewed beers are made on the premises using only the finest malt, hops, yeast and water. We currently produce these beers on a 15-barrel Bohemian copper brewhouse. Our fermantation capacity is 60 barrels (1,860 gallons), with an even larger serving capacity in our cold cellars. We invite you to taste hand-crafted beer at its finest. Look for Adirondack Pub & Brewery's hand-crafted beers at great establishments throughout New York State.",http://www.adkpub.com,N,verified,33 Canada St,Lake George,New York,12845-1603,518-668-0002,43.418521,-73.714111,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
218,nUwtfn,Adnams Brewery,Adnams,"Adnams is one of England's oldest and most respected breweries, but despite its rich heritage and enduring fame, Adnams is not a company willing to rest on its laurels. Its continued commitment to quality and innovative packaging designs has made it Britain's fastest growing brewery over the last two years. To top it off, Adnams' head brewer was recently chosen as Britain's Brewer of the Year by a panel of his peers. The aggressive team at Adnams is raring to go and keen to make a mark in the U.S.",http://www.adnams.co.uk/,N,verified,East Green,Southwold,Suffolk,IP18 6JW,44-(01502)-727200,52.3271614,1.6806989,N,Y,Y,micro,Micro Brewery,GB,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
219,J19Kxx,Surf Brewery,Surf,"Located less than five miles from Surfer’s Point, Ventura’s Surf BreweryTM. The only craft microbrewery kegging and bottling their own beer in Ventura County. Tasting room and HomeBrew supplies as well.",http://surfbrewery.com/,N,verified,4561 Market St.,Ventura,California,93003,(805) 644-2739,34.257772,-119.231116,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
378,jttXAg,Bluebonnet Beer Company,Bluebonnet,"Small craft brewery in Round Rock, TX owned and operated by a husband and wife team focused on brewing high-quality classic beer styles with a Texas twist.",http://www.bluebonnetbeerco.com,N,verified,1700 Bryant Drive,Round Rock,Texas,78664,512-774-4258,30.4919455,-97.6469574,N,Y,Y,nano,Nano Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
220,63EN5d,Broken Bottle Brewery,Broken Bottle,"Broken Bottle Brewery is what we like to refer to as a ""nanobrewery"", which basically means that it is smaller than a microbrewery, but bigger than Donavan's garage (and more awesome)! We have a small brewing area in the back and a taproom up front (also known as the Lair of Deliciousness). Our goal is to create the small neighborhood bar feeling that Albuquerque is lacking. Most importantly, we concentrate on producing small craft batches of the unique recipes that we have developed over the years.",http://www.brokenbottlebrewery.com/,N,verified,9421 Coors Blvd NW,Albuquerque,New Mexico,87114,(505) 890-8777,35.1875056,-106.66209,Y,Y,N,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
221,iWV3FQ,Mac & Jacks Brewing Company,Mac & Jacks,"Mac & Jack’s Brewing Company proudly dedicates itself to preserving a clean environment as a responsible resident in Redmond and to the community at large. From re-using water to providing spent grain to local farmers, all byproducts created here during the brewing process are recycled responsibly. This makes for happy neighbors as well as happy cows!",http://www.macandjacks.com/,N,verified,17825 NE 65th St,Redmond,Washington,98052,425-558-9697,47.663422,-122.102388,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
222,V8pBsI,Flyers Restaurant And Brewery,Flyers Restaurant,"",http://www.eatatflyers.com/,N,verified,32295 State Route 20,Oak Harbor,Washington,98277,360-675-5858,48.2991696,-122.6520867,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
223,kMlOin,Triple Digit Brewing Company,Triple Digit,Triple Digit is the high gravity brand of Cincinnati's Listermann Brewing Company. Every Triple Digit beer is brewed at or above a triple digit gravity (1.100). Welcome to the Next Level,http://tripledigitbrewing.com/,N,verified,1621 Dana Avenue,Cincinnati,Ohio,45207,(513) 731-1130,39.146586,-84.472935,N,Y,Y,nano,Nano Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
224,0YoykS,Slanted Rock Brewing Company,Slanted Rock,"Slanted Rock Brewing Company, LLC was founded in Meridian, Idaho on June 2011 by Bob Lonseth, Alesa Lonseth and Vincent Melchor. These partners and additional investment from John E. MacCrisken financed the start-up of this venture. ​Slanted Rock started operations in Fall 2012 with a 15 BBL Brewhouse, 2-15BBL Fermenters, 1- 30BBL Fermenter, 1-15BBL Brite Tank and 1-30BBL Brite Tank. Capacity and capability has expanded by adding additional 60 BBLs of fermentation capacity and our very own canning line. Our distributing partner is CSB (Craig Stein Beverage). Retail Customers can buy kegs and pick-up direct from the brewery. Individuals can also purchase kegs in the following sizes: ½ BBL, 1/6 BBL. Slanted Rock is committed to brewing a wide variety of craft beers using only the finest ingredients available. We are a small company built on dreams and hard work. Hope to see you out there with a Slanted Rock brew in hand!",http://slantedrock.com/,N,verified,2374 E Cinema Dr,Meridian,Idaho,83642,(208) 288-2192,43.592112,-116.3660196,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
225,Yr1UcD,Hood Canal Brewery,Hood Canal,"Hood Canal Brewery opened its doors in September 1996 in an 800 sq. Ft. pole building at the home of Don Wyatt, owner and brewer, just north of Poulsbo, Washington. Don had five years experience in home-brewing and worked at the Thomas Kemper Brewery before its closing. When Kemper's closed its doors, he decided to follow his passion and strike out on his own. Distribution of Hood Canal Beers started in Kitsap County. He later expanded his sales to the Seattle area via Odom Distributing Corporation, and now he personally distributes to bars, pubs, and grocery stores in Kitsap and surrounding counties. Our Tasting Room is on Bond Road between Kingston and Poulsbo. It's about the ten minute drive from the Kingston ferry terminal or from Poulsbo.",http://www.hoodcanalbrewery.com/,N,verified,26499 Bond Rd NE,Kingston,Washington,98346,360-297-8316,47.803707,-122.57332,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
226,8LAl4e,Ironworks Brewery and Pub,Ironworks Brewery and Pub,"Established in 1989, we are Denver's second oldest brewery. A locals dive bar feel, with a full kitchen, pool, darts, pinball and our back hop garden patio.",http://www.ironworkspub.com,N,verified,12354 W Alameda Pkwy,Lakewood,Colorado,80228,303-985-5818,39.7033476,-105.1362121,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
227,67lPiS,Save the World Brewing Co.,Save the World,"Artisanal Belgian style ales making you feel good on so many levels. After years of perfecting our recipes and with the use of only the best grains, hops and yeast, we feel our beers are raising the bar to the next level for the craft brewery movement. Grab a bottle of one our beers and decide for yourself, knowing that you're helping to Save The World one beer at a time! We offer beer brewing classes and tasting parties by appointment only,",http://www.savetheworldbrewing.com/,N,verified,1510 Resource Parkway,Marble Falls,Texas,78654,(830) 637-7654,30.616771,-98.2640193,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
228,CBTZYn,Arrowhead Ales Brewing Company,Arrowhead Ales,Craft Beer and Awesome Food,http://www.arrowheadales.com,N,verified,2101 Calistoga Dr,New Lenox,Illinois,604560451,"",41.4813717,-87.9589688,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
229,S09uAa,Bryggeri Skovlyst,Bryggeri Skovlyst,"",http://www.bryggeriskovlyst.dk,N,verified,Skovlystvej 2,Værløse,"",3500,"",55.7628471,12.3837931,N,Y,Y,restaurant,Restaurant/Ale House,DK,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
230,r6wXzi,Schlossbrauerei Maxlrain,Schlossbrauerei Maxlrain,"Schlossbrauerei Maxlrain is first mentioned in 1636. It was a “brown beer” brewery as was customary in those times. While a great deal has changed in the meantime, essential features have survived. Thus, Maxlrain is and remains a local private brewery under independent management. The fifteen styles of beer classified under pale ale, dark ale, Pils or wheat beer are all brewed applying manual skills utilizing finest ingredients enhanced by our own source of spring water drawn from the Mangfall Valley.",http://www.maxlrain.de/,N,verified,Aiblinger Str. 1,Maxlrain,Tuntenhausen,83104,+49 (0)8061 / 9079-0,47.89838,11.98821,N,Y,Y,production,Production Facility,DE,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
239,8wcv7h,Widmer Brothers Brewing,Widmer Brothers,"Widmer Brothers Brewing is located in beautiful and brew-friendly Portland, OR. Our publicly-held brewery employs over 150 people who are as passionate about quality craft beer as Kurt & Rob themselves. We opened the brewery in 1984, and built a new 40-barrel brewing system in our current Russell Street location in 1990. We've grown steadily ever since. In 1996, we completed installation of a state-of-the art 250-barrel brewhouse, bringing our capacity to 220,000 barrels per year. In 1996, for the first time in our brewery’s history we also installed a bottling line, capable of producing 500 bottles per minute. In 2008 we added six new 1500-barrel fermentation tanks that increased our capacity to 450,000 barrels per year, and added a new keg filling line capable of filling 300 kegs per hour.",http://www.widmer.com/,N,verified,929 North Russell Street,Portland,Oregon,97227,503-281-2437,45.540795,-122.675594,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
1471,LSrqUN,Old Schoolhouse Brewery,Old Schoolhouse,"",http://www.oldschoolhousebrewery.com/,N,verified,155 Riverside,Winthrop,Washington,98862,509-996-3183,48.478139,-120.186436,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:24 UTC,2017-09-24 00:25:24 UTC
231,0cACKo,Lucid Brewing,Lucid,"In July 2010, over a craft beer at a local restaurant, Eric Biermann and Jon Messier had a Lucid thought – “Let’s throw away the ties and the corporate ladders. Let’s start a craft beer brewery!” That Clarity in Thinking, led to the successful launch of Lucid Brewing. In June of 2011, with a year of planning already completed, they realized jumping headfirst into the brewery was the only way they could make their dream a reality. They quit their day jobs. With that leap of faith – and a ton of support from many friends and family – they started building their brewery from the ground up. Through the sweltering heat of the 2011 summer, many friends labored side by side with Jon and Eric. They did it all, start to finish, from digging trenches to assembling the last tank. So of course they needed a refreshing and light drink to quench their thirst while they toiled away. They found just the right recipe and brewed their first beer – AIR. A beer made to get the job done. Its slight citrus aroma and flavor, lower ABV and crisp dry finish made this their favorite “go to” beer. By October the brewery was complete and cooking. And in the spirit of the season, Eric and Jon gave thanks to the Brew gods when they made their first deliveries to their first three customers the week of Thanksgiving… in Jon’s car. Lucid was on its way! Always keeping an eye on the demand for high quality while quickly catching the craft beer lover’s attention, Lucid assembled a team of dedicated employees and introduced brews to quench their customers’ demands. AIR, DYNO, FOTO and DUO, along with seasonal and small-batch brews, are quickly becoming Minnesota favorites at local bars and restaurants. Great success has followed them after throwing away the daily grind for the daily brew.",http://www.lucidbrewing.com/,N,verified,6020 Culligan Way,Minnetonka,Minnesota,55345,612-810-9324,44.895218,-93.449725,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
232,eCqaSS,Airdale Brewing Company,Airdale,"Founded in 2008, Airdale Brewing is a craft beer company located in San Diego, California. Founded by a former Naval Aviator and a veteran southern California craft brewer, Airdale strives to create well-balanced, unique, flavorful beers that embody their mantra of, ""Work Hard | Play Hard"" Airdale Brewing Co. is working to bring its line of premium craft beers to every market available. We intent to do this by producing quality beers that stand on their own as true examples of artisan american ales.",http://www.airdalebrewing.com/,N,verified,8385 Miramar Mall,San Diego,California,92121,619-822-1612,32.8794334,-117.1819082,Y,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
233,673NQh,Aspen Brewing Company,Aspen,"spen’s beer history dates back to 1885 and the original Aspen Brewery which was located only a few hundred yards from the new Aspen Brewery. Founded by Christian Sanders, the Aspen Brewery operated successfully in Aspen until being purchased by P.H. Zang Company of Denver in 1902. We believe that they produced one beer, presumable a Lager, to quench the thirst of Aspen’s mining population. In 1990, Flying Dog brew-pub was opened by George Stranahan and Richard McIntyre in the Cooper Street pedestrian mall. Locals and visitors flocked to the brew pub for the beer, food and bohemian atmosphere. Flying Dog operated in downtown Aspen for three years until moving to Denver.",http://aspenbrewingcompany.com/,N,verified,304 East Hopkins Avenue,Aspen,Colorado,81611,970-920-2739,39.190334,-106.820307,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
234,lZfiot,Half Acre Beer Company,Half Acre,"Half Acre Beer Co. is a brewing company in the Northcenter neighborhood of Chicago, IL. We built a brewery in the middle of the city where we brew small batch beers, and have a store & tasting area where we sample our beers and sell them to go in all package styles. We make different beers throughout the year, some we brew all the time and some are only around for a very short period. Our focus is to expand our abilities and enjoy our work.",http://www.halfacrebeer.com/,N,verified,4257 N. Lincoln Ave,Chicago,Illinois,60618,773-248-4038,41.9592701,-87.6823099,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
235,VPHkaP,Alaskan Brewing Co.,Alaskan,"Alaska has a rich history of brewing. From the explorers of the 1700s through the Gold Rush, many a thirsty Alaskan has been able to enjoy locally made beers. In 1986, 28-year-olds Marcy and Geoff Larson reignited that tradition when they opened the Alaskan Brewing Company, the 67th brewery in the country and the first brewery in Juneau since Prohibition. Alaskan beers reflect many of the same characteristics of beers that were brewed here during the gold rush era. From the historically based Alaskan Amber recipe to alder-smoked malts and Sitka spruce tips, Alaskan beers reflect Juneau's local brewing history and innovation. Marcy and Geoff were drawn to the beauty and adventure of Alaska, but finding a livelihood that would allow them to stay was a challenge. ""Why not start a brewery?"" a friend suggested. Other than the extreme financial and logistical challenges of brewing beer in the Last Frontier, they couldn't think of why not. Maybe the idea wasn't so far-fetched. After all, Geoff was a chemical engineer and a homebrewer and was married to Marcy, an adventure-seeking accountant and aspiring bush pilot. Together they brought a unique skill set to the task of opening a brewery in Alaska. While researching brewing in Alaska, Marcy unearthed shipping records from Douglas City Brewing Co. (1899-1907) that listed ingredients for its popular beers and a newspaper article that described the way it was brewed. Geoff homebrewed a batch of the Gold Rush-era brew and they could see what made it so popular. That beer is now known as Alaskan Amber. In December 1986, Alaskan Brewing Co. officially began operations when Geoff, Marcy and 10 volunteers spent 12 hours hand packaging the first 253 cases of Alaskan Amber for distribution in Juneau, Alaska. From that very humble beginning, Alaskan Brewing Co. has grown to become the most award-winning craft brewery in the history of the Great American Beer Festival and expanded distribution to 14 states.",http://www.alaskanbeer.com,N,verified,5429 Shaune Dr,Juneau,Alaska,99801-9540,907-780-5866,58.3570171,-134.4893459,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:22 UTC,2017-09-24 00:25:22 UTC
